application_id,annual_income,credit_score,loan_amount,years_in_business,num_employees,previous_loans,debt_to_income_ratio,monthly_revenue,loan_purpose,industry,has_collateral,education_level,geographic_region,default
1,71810.3816960771,727.4163229502672,26587.162467655253,0.6447010290356455,7,2,0.09727500689226845,2612.553468102318,business_expansion,services,no,bachelors,west,0
2,44833.941906467626,695.3502843262218,17919.990075562175,4.968644373853948,11,0,0.35948995903211783,8190.2602039109615,working_capital,retail,no,bachelors,southwest,1
3,41468.507531128605,787.2656989444317,42820.14482945421,0.19278146217459752,12,0,0.14138834125902677,21178.92809346033,business_expansion,retail,yes,bachelors,southeast,0
4,41469.06882995402,773.1756837154302,32499.88526656216,5.399122313456756,6,1,0.18425832877185463,11256.967200677105,equipment,services,no,high_school,west,0
5,139491.43236691953,793.9975503989054,32300.955326847197,0.9644973299156006,9,1,0.2562546445126174,15694.600899426932,working_capital,retail,no,masters,southwest,0
6,86001.18692892666,667.2266785434964,10626.228472603188,2.0549616896675094,10,4,0.4160161227100087,8755.485249637364,working_capital,technology,yes,masters,west,0
7,33932.34005222697,743.2329959523304,10320.14656919196,1.4392628231887856,6,0,0.3859012320903393,5456.777857190279,working_capital,retail,no,bachelors,west,0
8,74094.4342029364,766.804311988949,27994.182745610015,2.5361139458306847,10,1,0.22342953060958906,15905.703388294649,equipment,food,no,bachelors,southwest,0
9,59968.807921939406,767.6769454862717,47011.821163764835,4.768758728729994,5,2,0.2588612740207666,,real_estate,services,yes,bachelors,west,0
10,6477.448304717562,792.5525525502987,72081.8978611985,13.61808932418505,12,3,0.5610055783960665,21677.18286720441,real_estate,retail,no,masters,southwest,1
11,20137.268480631188,752.9770311030104,3961.2651106359117,1.096105639176867,6,1,0.1346435207930735,,business_expansion,retail,no,high_school,west,0
12,63184.969120444905,652.9761805238873,25500.200250925565,2.420993657369875,7,0,0.07594751789940181,14442.63175811875,business_expansion,food,yes,masters,west,0
13,130955.30602450586,768.6950416314883,50081.726750961694,1.8821207292138813,17,3,0.5248440079668774,,real_estate,manufacturing,yes,masters,midwest,0
14,41755.565548774386,805.6487974353577,39964.20887665726,20.51513352108987,8,4,0.18103198122867792,261.10523946130786,real_estate,healthcare,yes,bachelors,west,0
15,31740.82317162911,665.2296266278588,31551.92944127091,4.965089270422489,11,0,0.48780085207382495,19341.321820201967,real_estate,manufacturing,no,high_school,southwest,0
16,54420.22624416497,737.7666587317357,49504.750094091396,1.5179314826444372,7,0,0.3409613057731071,2043.047156913011,business_expansion,retail,no,masters,midwest,1
17,30158.53442154293,671.8523791985914,9710.30527088169,1.9438277712703451,6,2,0.1961886162503634,12769.579211358481,working_capital,technology,no,bachelors,midwest,0
18,39532.24143417565,780.5321274463374,40924.41938444758,0.8469160366728532,5,1,0.34420749440953335,8516.356685849973,business_expansion,technology,yes,high_school,west,0
19,49479.07436820794,774.1038488626945,51827.74072199144,4.222521139968919,9,2,0.2431046029736158,33460.082566560915,equipment,manufacturing,no,phd,northeast,1
20,19204.119145316505,,8198.127813201907,5.597092380362648,7,0,0.17649799395496785,32030.487726710428,real_estate,services,yes,bachelors,west,0
21,89101.80282639418,771.940567006829,32533.21345314286,10.05609246126728,8,6,0.20345201560806667,10188.270302116884,real_estate,healthcare,yes,masters,midwest,0
22,16055.443388371203,721.52732750344,43152.375420583994,2.502949726839135,9,1,0.07277580643226358,7965.0328155194,business_expansion,retail,no,high_school,midwest,1
23,14183.8033150402,705.1428643778852,45895.87067686873,3.3322034192044216,11,0,0.22406841237517938,746.7131322025067,equipment,manufacturing,no,bachelors,west,1
24,58018.51253664405,780.2870592338237,3537.4777828406145,1.772090376669231,9,3,0.28660789551152993,13203.90880220059,business_expansion,healthcare,no,masters,west,0
25,84400.61423937151,709.1222654602516,14520.511382541954,2.8181293318835032,9,4,0.3850186455518656,3170.557797213174,business_expansion,services,yes,bachelors,southwest,0
26,56935.06723071211,795.5516588691455,1101.5712868152548,1.2865805905230416,11,2,0.3055841264345566,11775.54317849694,business_expansion,services,yes,high_school,southeast,0
27,45653.375312538024,803.9847558553629,62831.26149142935,4.014674701449058,15,1,0.49377495089367585,5997.879556344115,business_expansion,services,no,masters,west,0
28,39221.443049504225,772.5554681227692,18723.082658149575,0.06888595766179795,10,2,0.057547537470956346,2338.082603648845,business_expansion,services,no,bachelors,west,0
29,34197.29492059951,750.910082179451,9760.504808175447,0.08660878494654925,12,0,0.28620178469720925,1352.5266404374095,real_estate,services,no,bachelors,southeast,0
30,103133.97901558348,648.2504957485891,8811.036860280215,3.7776204033453102,7,2,0.4532867232217897,3961.6100788544036,equipment,services,no,masters,midwest,0
31,63631.318181697665,635.9342900455014,15198.1215453703,8.007186757256036,7,3,0.20289910162857572,4573.447653202775,real_estate,retail,no,high_school,midwest,0
32,36519.56440975962,748.3700100157846,51888.739796684895,3.001047065949684,15,3,0.14116770700375672,16735.551475227505,business_expansion,services,yes,bachelors,midwest,0
33,28098.195879346717,712.8241876348688,10989.888786342439,3.889671396967375,11,2,0.16520934389703426,5743.173627493888,equipment,food,yes,masters,southeast,0
34,77628.56870123622,807.0015895293509,68672.38561296392,5.210694024806097,8,2,0.20605281972850858,3370.9475062913343,equipment,services,no,high_school,midwest,1
35,101503.25020206653,819.3966793574773,6299.017009725785,1.3467197059807399,15,2,0.17773083753162947,14942.752446416736,real_estate,food,no,high_school,midwest,0
36,95436.29345408666,838.220021088103,100293.30196230851,0.34324971992749675,11,1,0.251506052298815,6335.93079570882,business_expansion,retail,no,bachelors,southwest,0
37,24031.411446340408,824.4728768692901,15487.625619052413,8.113323092254845,9,1,0.2238232892220988,5247.482918107965,working_capital,technology,no,masters,northeast,0
38,38954.93403862873,623.2635019256836,69807.2171655706,8.369598484046536,10,2,0.18705511448235343,11053.250886581214,working_capital,services,no,high_school,southeast,1
39,33643.04902560296,690.9112490913628,62913.59414032706,1.749331844145389,10,1,0.36359199734427183,3761.976445818262,equipment,services,yes,bachelors,west,1
40,43148.64347357966,804.8895338436165,62731.78923248262,0.7345178462059359,5,2,0.280121938899042,2026.6690351814696,business_expansion,manufacturing,no,high_school,midwest,0
41,88532.65570089768,670.1355744620176,23460.08264998214,6.686732307434745,5,0,0.3552845251641427,21262.828566507094,business_expansion,retail,no,bachelors,southwest,0
42,123067.87371621632,734.288123343785,7326.071569940332,3.6973915104877317,9,3,0.5227974415040411,24718.79349064305,equipment,technology,yes,bachelors,west,0
43,65354.614209254956,735.1200281286633,29925.46191923468,0.024787170837477997,11,4,0.6233421893641404,14259.596172310245,equipment,healthcare,no,masters,midwest,0
44,28945.338692766516,697.4042491381747,12235.913670644351,0.3419248791945313,12,2,0.2854736412805105,2553.2879381563516,working_capital,retail,yes,high_school,west,0
45,48625.25894666712,768.0131019270498,63124.55484321326,12.259065387637069,11,0,0.32866521018189454,,business_expansion,retail,no,bachelors,southeast,1
46,138376.18605220754,708.8062629976666,28721.678462100237,0.11662223759473017,11,3,0.5657470316172335,5526.599494321384,business_expansion,retail,no,bachelors,southeast,0
47,53447.65804661559,681.1136032914912,25568.44957864245,0.9961770113518629,8,0,0.40545065743854053,18803.239409463382,real_estate,food,yes,bachelors,midwest,0
48,39290.54107726731,610.4679502887093,12958.582957211844,2.3855154308067377,7,1,0.44125793061125207,4585.02058022965,working_capital,technology,no,bachelors,midwest,0
49,41965.578354038356,753.7568367638005,17262.377227609035,0.6113304695451918,6,2,0.48204516792508395,9622.942872570711,equipment,services,yes,bachelors,northeast,0
50,65145.40092144036,779.2289667129696,37961.595936763544,0.7921079197985633,9,1,0.26779870829319824,4594.64849944971,working_capital,retail,no,masters,southeast,0
51,24768.952035157883,538.2855659310308,33389.61732403502,1.3060761994046863,7,2,0.3896233157949292,1447.9698746443328,business_expansion,technology,no,masters,southwest,0
52,32975.91354370088,701.4644743733159,43196.60156531195,0.9423010195089777,5,2,0.03297978974292397,5108.431942107825,equipment,retail,yes,bachelors,west,0
53,94493.17180722751,787.9686249396387,45725.6635978195,4.879084352038792,12,1,0.23431901254954554,26651.477645589333,business_expansion,food,no,bachelors,southwest,0
54,63843.828459691926,657.8220149254294,48717.183347926235,2.081088834214813,9,3,0.21909893853731216,6184.241524017219,business_expansion,services,no,bachelors,midwest,0
55,53854.8252143664,798.1314384042344,8515.229611416873,0.9797683180322494,8,1,0.185831310960545,14625.667426843484,equipment,services,yes,phd,northeast,0
56,97680.40694037102,796.4135252658286,34593.792301834044,1.1266823498314542,11,4,0.10561869403587418,6665.979819697129,working_capital,manufacturing,yes,bachelors,northeast,0
57,27440.57351344576,787.1630780105652,32843.34891299018,0.1220440119514281,13,1,0.178549582670539,6776.198930083268,real_estate,food,yes,bachelors,northeast,0
58,38353.04751692941,792.6055577342827,6023.98742172405,0.151960737717962,13,3,0.457840628737585,4346.578053485458,working_capital,services,no,masters,midwest,0
59,62367.90914344182,745.9007586718824,36158.23900219478,3.796561448647727,10,3,0.16766568293292533,11790.822097896396,business_expansion,services,no,phd,midwest,0
60,60807.4377179209,796.9091205303024,62367.09498096147,0.35942933946150846,7,1,0.7225565682623764,4627.677623208204,working_capital,manufacturing,no,masters,west,0
61,12775.367228952393,631.9486710655149,36828.10431837354,1.9376275058181969,7,2,0.11253262773473287,17804.671543792494,equipment,food,yes,high_school,northeast,1
62,35413.84240815345,771.880874447972,6664.678431994169,5.542431369400052,4,2,0.45099155665531304,8100.364125858467,business_expansion,services,no,high_school,southeast,0
63,44009.95111084819,718.6289375814249,12278.917178517944,1.3787511443001452,5,1,0.25493279762322085,5316.745796211421,working_capital,healthcare,no,bachelors,southeast,0
64,67338.16626095303,670.8427367712579,31115.114587275904,1.2728074244748946,11,1,0.3404250115999226,8313.377756067306,equipment,manufacturing,yes,high_school,northeast,0
65,60652.90924552798,605.8439306824846,10458.825340552228,6.191845167287907,17,3,0.5184277674699345,12422.901818409886,business_expansion,healthcare,no,bachelors,west,0
66,47171.78892003926,635.6018494202352,39013.01940414957,6.004118823446181,6,3,0.1220986316419647,3897.404105058663,business_expansion,services,no,masters,midwest,0
67,6423.152457180019,632.402613906856,25866.562234953795,6.3642125960318445,7,3,0.24168317308473428,15487.524379427698,business_expansion,manufacturing,yes,masters,southeast,1
68,48980.13583354381,766.7456401533761,47902.15495519383,2.5452932276225138,10,2,0.12737338016892166,3397.6707032683385,equipment,services,no,bachelors,west,0
69,52369.1708335567,750.642061905245,20027.988657528735,9.128740433497002,7,2,0.3449236562370418,17862.650737274897,real_estate,manufacturing,yes,high_school,southwest,0
70,218939.93366348612,817.7875611971835,31667.134808772436,5.127177252663808,5,2,0.2603730836837843,,working_capital,retail,yes,bachelors,northeast,0
71,42913.793178919,748.3791065123346,13955.208325556196,1.6116855322575012,8,1,0.16948852914375845,8273.65220266365,business_expansion,healthcare,no,high_school,southeast,0
72,62611.78567391992,,88163.64021624545,2.9791520294089553,9,0,0.3229067705129729,7959.432932952378,real_estate,services,yes,masters,west,0
73,108606.38276642896,691.5395413793274,25079.44991552943,0.3896054686424737,14,3,0.37113177124596697,6281.9966496326815,equipment,services,yes,masters,southeast,0
74,85142.18089417082,798.8200143205236,8077.610895998629,2.404417500398286,8,1,0.23079939173311756,3261.6397103532545,working_capital,healthcare,no,masters,southeast,0
